날짜,기준가,전일대비,등락율(%),설정액(억),순 자산액(억),과표기준가,현재가,대비,등락률,거래량,거래대금,,,,,,,,,
2020.02.17,1167.73, 8.60,0.74,152,177,"1,031.41","2,242.17",-1.42,-0.06,"458,247","5,639,200",,,,,,,,,
2020.02.14,1159.13, 2.15,-0.19,153,177,"1,031.53","2,243.59",10.63,0.48,"597,224","6,379,565",,,,,,,,,
2020.02.13,1161.28, 8.47,0.73,156,181,"1,031.54","2,232.96",-5.42,-0.24,"638,666","8,121,197",,,,,,,,,
2020.02.12,1152.81, 12.17,1.07,159,184,"1,031.56","2,238.38",15.26,0.69,"632,462","6,892,197",,,,,,,,,
2020.02.11,1140.64, 7.94,-0.69,159,181,"1,031.56","2,223.12",22.05,1,"526,211","6,611,195",,,,,,,,,
2020.02.10,1148.58, 10.25,-0.88,163,188,"1,031.57","2,201.07",-10.88,-0.49,"609,566","5,471,061",,,,,,,,,
2020.02.07,1158.83, 32.80,2.91,164,190,"1,031.61","2,211.95",-15.99,-0.72,"800,342","8,813,174",,,,,,,,,
2020.02.06,1126.03, 4.86,0.43,160,180,"1,031.64","2,227.94",62.31,2.88,"695,216","8,334,737",,,,,,,,,
2020.02.05,1121.17, 22.46,2.04,156,175,"1,031.64","2,165.63",7.73,0.36,"574,395","7,736,275",,,,,,,,,
2020.02.04,1098.71, 2.54,0.23,152,167,"1,031.76","2,157.90",39.02,1.84,"624,641","7,791,178",,,,,,,,,
2020.02.03,1096.17, 14.15,-1.27,151,165,"1,031.67","2,118.88",-0.13,-0.01,"836,699","8,068,704",,,,,,,,,
2020.01.31,1110.32, 22.53,-1.99,150,167,"1,031.70","2,119.01",-28.99,-1.35,"710,507","7,226,687",,,,,,,,,
2020.01.30,1132.85, 5.06,0.45,150,170,"1,031.69","2,148.00",-37.28,-1.71,"602,838","7,105,203",,,,,,,,,
2020.01.29,1127.79, 38.27,-3.28,147,165,"1,031.70","2,185.28",8.56,0.39,"692,300","6,589,949",,,,,,,,,
2020.01.28,1166.06, 15.81,-1.34,146,171,"1,031.72","2,176.72",-69.41,-3.09,"808,878","8,818,232",,,,,,,,,
2020.01.23,1181.87, 15.84,1.36,141,167,"1,031.85","2,246.13",-21.12,-0.93,"509,608","6,790,103",,,,,,,,,
2020.01.22,1166.03, 14.00,-1.19,141,164,"1,031.85","2,267.25",27.56,1.23,"608,509","6,365,617",,,,,,,,,
2020.01.21,1180.03, 8.67,0.74,148,174,"1,031.89","2,239.69",-22.95,-1.01,"770,319","5,569,550",,,,,,,,,
2020.01.20,1171.36, 2.33,0.2,148,174,"1,031.91","2,262.64",12.07,0.54,"545,491","5,950,403",,,,,,,,,
2020.01.17,1169.03, 12.51,1.08,149,175,"1,031.95","2,250.57",2.52,0.11,"580,816","5,444,383",,,,,,,,,
